2017,,,
Balances trimestrales de criminalidad - 2017. 4º Trimestre,,,
,,,
"Indicadores de seguridad 2017 - 4º Trimestre por geografía, tipología  penal y periodos.",,,
Unidades: ,,,
,,,
 ,Enero-diciembre 2016,Enero-diciembre 2017,Variación % 2017/2016
- Municipio de Alcalá de Henares,,,
    6.-Robos con violencia e intimidación,293,291,-0.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",460,454,-1.3
    7.1.-Robos con fuerza en domicilios,285,224,-21.4
    8.-Hurtos,2798,2676,-4.4
- Municipio de Alcobendas,,,
    6.-Robos con violencia e intimidación,153,146,-4.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",291,312,7.2
    7.1.-Robos con fuerza en domicilios,168,174,3.6
    8.-Hurtos,1622,1661,2.4
- Municipio de Alcorcón,,,
    6.-Robos con violencia e intimidación,422,346,-18
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",399,327,-18
    7.1.-Robos con fuerza en domicilios,273,177,-35.2
    8.-Hurtos,2472,2478,0.2
- Municipio de Aranjuez,,,
    6.-Robos con violencia e intimidación,64,45,-29.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",165,116,-29.7
    7.1.-Robos con fuerza en domicilios,101,71,-29.7
    8.-Hurtos,739,648,-12.3
- Municipio de Arganda del Rey,,,
    6.-Robos con violencia e intimidación,80,82,2.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",182,179,-1.6
    7.1.-Robos con fuerza en domicilios,109,119,9.2
    8.-Hurtos,425,446,4.9
- Municipio de Boadilla del Monte,,,
    6.-Robos con violencia e intimidación,24,24,0
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",107,121,13.1
    7.1.-Robos con fuerza en domicilios,79,85,7.6
    8.-Hurtos,282,339,20.2
- Municipio de Colmenar Viejo,,,
    6.-Robos con violencia e intimidación,50,42,-16
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",169,116,-31.4
    7.1.-Robos con fuerza en domicilios,108,88,-18.5
    8.-Hurtos,447,464,3.8
- Municipio de Collado Villalba,,,
    6.-Robos con violencia e intimidación,143,125,-12.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",249,206,-17.3
    7.1.-Robos con fuerza en domicilios,191,154,-19.4
    8.-Hurtos,791,837,5.8
- Municipio de Coslada,,,
    6.-Robos con violencia e intimidación,113,90,-20.4
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",264,180,-31.8
    7.1.-Robos con fuerza en domicilios,158,118,-25.3
    8.-Hurtos,1103,1104,0.1
- Municipio de Fuenlabrada,,,
    6.-Robos con violencia e intimidación,373,343,-8
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",456,364,-20.2
    7.1.-Robos con fuerza en domicilios,304,191,-37.2
    8.-Hurtos,2654,2531,-4.6
- Municipio de Galapagar,,,
    6.-Robos con violencia e intimidación,42,41,-2.4
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",143,115,-19.6
