"Balance de criminalidad. 2021 - 4º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas",,,
,,,
"Indicadores de seguridad 2021 - 4º Trimestre por geografía, tipología  penal y periodos.",,,
Unidades: ,,,
,,,
 ,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",79,66,-16.5
    7.1.-Robos con fuerza en domicilios,64,41,-35.9
    8.-Hurtos,479,618,29
-Municipio de Pozuelo de Alarcón,,,
    6.-Robos con violencia e intimidación,70,63,-10
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",96,90,-6.3
    7.1.-Robos con fuerza en domicilios,76,74,-2.6
    8.-Hurtos,757,861,13.7
-Municipio de Rivas-Vaciamadrid,,,
    6.-Robos con violencia e intimidación,73,141,93.2
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",201,262,30.3
    7.1.-Robos con fuerza en domicilios,125,152,21.6
    8.-Hurtos,1279,1528,19.5
-Municipio de Rozas de Madrid (Las),,,
    6.-Robos con violencia e intimidación,82,54,-34.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",248,212,-14.5
    7.1.-Robos con fuerza en domicilios,205,157,-23.4
    8.-Hurtos,1062,1144,7.7
-Municipio de San Fernando de Henares,,,
    6.-Robos con violencia e intimidación,31,34,9.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",69,57,-17.4
    7.1.-Robos con fuerza en domicilios,30,34,13.3
    8.-Hurtos,384,433,12.8
-Municipio de San Sebastián de los Reyes,,,
    6.-Robos con violencia e intimidación,69,74,7.2
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",151,127,-15.9
    7.1.-Robos con fuerza en domicilios,72,95,31.9
    8.-Hurtos,1169,1349,15.4
-Municipio de Torrejón de Ardoz,,,
    6.-Robos con violencia e intimidación,94,95,1.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",128,105,-18
    7.1.-Robos con fuerza en domicilios,53,59,11.3
    8.-Hurtos,931,1305,40.2
-Municipio de Torrelodones,,,
    6.-Robos con violencia e intimidación,17,35,105.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",78,87,11.5
    7.1.-Robos con fuerza en domicilios,75,73,-2.7
    8.-Hurtos,228,278,21.9
-Municipio de Tres Cantos,,,
    6.-Robos con violencia e intimidación,12,25,108.3
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",53,47,-11.3
    7.1.-Robos con fuerza en domicilios,35,35,0
    8.-Hurtos,240,374,55.8
-Municipio de Valdemoro,,,
    6.-Robos con violencia e intimidación,85,53,-37.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",99,115,16.2
    7.1.-Robos con fuerza en domicilios,46,68,47.8
    8.-Hurtos,489,656,34.2
-Municipo de Villanueva de la Cañada,,,
    6.-Robos con violencia e intimidación,8,20,150
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",57,57,0
    7.1.-Robos con fuerza en domicilios,51,47,-7.8
    8.-Hurtos,155,240,54.8
-Municipio de Villaviciosa de Odón,,,
    6.-Robos con violencia e intimidación,40,53,32.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",73,100,37
    7.1.-Robos con fuerza en domicilios,54,73,35.2
    8.-Hurtos,176,274,55.7
,,,
,,,
Notas:,,,
NIPO 126-20-005-0          ,,,
           ,,,
" (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.                       ",,,
                                     ,,,
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).          ,,,
    ,,,
 (***) Datos pendientes de consolidar,,,
,,,
Fuente: ,,,
Ministerio del Interior,,,
