"21/04/2023","10331","48117","0","733,00 €","CCTV","11","(gesetzt)","82","","82","SUSTITUCION DE CAMARA 8 Y AMPLIACON CAMARA PARA PASILLO CENTRAL GARAJE","Cliente","62744","3","","","COMUNIDA","14/11/2023","4","37254","28004"
"21/04/2023","7089","48112","1","72,50 €","ALARMA","11","(gesetzt)","82","","139","AMPLIACION DE UN DETECTOR MAS CON CAMARA PARA EL LOCAL PROXIMO","Cliente","62740","3","","","HOSTELER","26/04/2023","5","36656","28027"
"21/04/2023","13109","48059","1","443,70 €","ALARMA","11","(gesetzt)","82","","82","SUSTITUCION DE DETECTORES DE IMPACTO DE GRADO 3","Cliente","62662","12","","","JOYERIA","17/10/2023","5","37181","28670"
"21/04/2023","10705","47999","1","148,50 €","ALARMA","11","(nicht gesetzt)","82","5","82","SUSTITUCION DE EQUIPOS PARA ADECUAR SISTEMA A GRADO 3","Cliente","62588","12","21/04/2023","","COMERCIO","26/04/2023","5","36657","28702"
"21/04/2023","10706","47967","1","99,00 €","ALARMA","11","(nicht gesetzt)","82","5","82","SUSTITUCION DE EQUIPOS PARA ADECUAR A GRADO 3","Cliente","62553","12","21/04/2023","","COMERCIO","26/04/2023","5","36658","28703"
"20/04/2023","14043","48116","0","6.675,70 €","CCTV","5","(nicht gesetzt)","139","5","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cliente","62705","1","16/04/2024","","COMUNIDA","","4","","28034"
"20/04/2023","113940","48115","0","4.647,40 €","CCTV","2","(nicht gesetzt)","139","4","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD 5 MP GRABACION EN","Cl. potenc.","62700","1","12/05/2023","","COMUNIDA","","4","","28027"
"20/04/2023","113946","48114","0","1.487,70 €","CCTV","2","(nicht gesetzt)","139","5","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cl. potenc.","62714","1","04/09/2023","","COMUNIDA","","4","","28009"
"20/04/2023","13631","48113","0","850,00 €","CCTV","11","(gesetzt)","139","","139","INSTALACION DE SISTEMA DE 5 SAI PROFESIONALES CON CAMBIO DE CABLEADO","Cliente","62743","3","","","NAVE","24/04/2023","5","36647","28936"
"20/04/2023","7089","48112","0","145,00 €","ALARMA","11","(nicht gesetzt)","139","5","139","AMPLIACION DE UN DETECTOR MAS CON CAMARA PARA EL LOCAL PROXIMO","Cliente","62740","3","21/04/2023","","HOSTELER","26/04/2023","7","36656","28027"
