"Balance de criminalidad. 2023 - 4º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas",,
,,
"Indicadores de seguridad 2023 - 4º Trimestre por geografía, tipología  penal y periodos.",,
Unidades: ,,
,,
 ,enero-diciembre 2022,enero-diciembre 2023
-Municipio de Parla,,
    I. CRIMINALIDAD CONVENCIONAL,5626,5373
    6. Robos con violencia e intimidación,381,273
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",198,173
    7.1.-Robos con fuerza en domicilios,112,68
    8. Hurtos,1557,1634
-Municipio de Pinto,,
    I. CRIMINALIDAD CONVENCIONAL,2425,2357
    6. Robos con violencia e intimidación,64,46
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",128,123
    7.1.-Robos con fuerza en domicilios,105,83
    8. Hurtos,871,786
-Municipio de Pozuelo de Alarcón,,
    I. CRIMINALIDAD CONVENCIONAL,2233,1923
    6. Robos con violencia e intimidación,55,33
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",81,106
    7.1.-Robos con fuerza en domicilios,70,86
    8. Hurtos,913,711
-Municipio de Rivas-Vaciamadrid,,
    I. CRIMINALIDAD CONVENCIONAL,4580,4328
    6. Robos con violencia e intimidación,154,136
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",236,381
    7.1.-Robos con fuerza en domicilios,154,257
    8. Hurtos,1674,1830
-Municipio de Rozas de Madrid (Las),,
    I. CRIMINALIDAD CONVENCIONAL,3513,3210
    6. Robos con violencia e intimidación,84,93
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",163,216
    7.1.-Robos con fuerza en domicilios,142,173
    8. Hurtos,1255,1321
-Municipio de San Fernando de Henares,,
    I. CRIMINALIDAD CONVENCIONAL,1596,1483
    6. Robos con violencia e intimidación,52,49
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",61,31
    7.1.-Robos con fuerza en domicilios,34,11
    8. Hurtos,475,515
-Municipio de San Sebastián de los Reyes,,
    I. CRIMINALIDAD CONVENCIONAL,3475,3646
    6. Robos con violencia e intimidación,74,73
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",156,162
    7.1.-Robos con fuerza en domicilios,99,103
    8. Hurtos,1535,1509
-Municipio de San Martín de la Vega,,
    I. CRIMINALIDAD CONVENCIONAL,745,653
    6. Robos con violencia e intimidación,13,9
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",21,26
    7.1.-Robos con fuerza en domicilios,10,16
    8. Hurtos,214,185
-Municipio de Torrejón de Ardoz,,
    I. CRIMINALIDAD CONVENCIONAL,4759,4485
    6. Robos con violencia e intimidación,113,108
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",121,116
    7.1.-Robos con fuerza en domicilios,74,71
    8. Hurtos,1664,1615
-Municipio de Torrelodones,,
    I. CRIMINALIDAD CONVENCIONAL,893,859
    6. Robos con violencia e intimidación,30,15
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",75,91
    7.1.-Robos con fuerza en domicilios,66,77
    8. Hurtos,286,280
-Municipio de Tres Cantos,,
    I. CRIMINALIDAD CONVENCIONAL,1150,1107
    6. Robos con violencia e intimidación,35,16
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",65,80
    7.1.-Robos con fuerza en domicilios,50,56
    8. Hurtos,426,411
-Municipio de Valdemoro,,
    I. CRIMINALIDAD CONVENCIONAL,3001,3012
    6. Robos con violencia e intimidación,77,60
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",119,103
    7.1.-Robos con fuerza en domicilios,72,62
    8. Hurtos,830,785
Municipo de Villanueva de la Cañada,,
    I. CRIMINALIDAD CONVENCIONAL,948,849
    6. Robos con violencia e intimidación,15,18
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",68,69
    7.1.-Robos con fuerza en domicilios,63,61
    8. Hurtos,320,299
-Municipio de Villaviciosa de Odón,,
    I. CRIMINALIDAD CONVENCIONAL,1137,1082
    6. Robos con violencia e intimidación,49,37
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",100,124
    7.1.-Robos con fuerza en domicilios,82,110
    8. Hurtos,320,301
,,
,,
Notas:,,
NIPO 126-20-005-0                                            ,,
                                             ,,
" (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad. En agresiones sexuales con  penetración se computan agresiones sexuales con penetración y abusos  sexuales con penetración.       ",,
                                                                       ,,
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                               ,,
                                      ,,
 (***) Datos de 2023 pendientes de consolidar.,,
,,
Fuente: ,,
Ministerio del Interior,,
